CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3462	11490	1	0.8551	-75.994
2103	5000	1	0.93	-1.006
3977	5823	1	0.9041	1.011
2551	6364	1	0.864	-290.074
4206	10525	1	0.8803	0.000
4387	5388	1	0.884	288.555
1551	3790	1	0.863	-76.022
1884	3147	1	0.9278	-225.059
255	2996	1	0.8505	-143.533
776	1906	1	0.9872	-30.009
1495	4313	1	0.8654	-15.994
2959	5138	1	0.9466	0.498
1986	4180	1	0.8906	-143.528
5823	6571	1	0.9063	-2.012
2472	4801	1	0.8467	236.536
1098	3426	1	0.8776	227.061
1884	2744	1	0.8841	81.526
4266	6534	1	0.928	-76.506
1283	2412	1	0.933	65.024
2643	2673	1	0.9479	-54.026
251	4690	1	0.8558	0.508
1076	2551	1	0.883	1.011
2742	2744	1	0.86	-160.030
1047	1056	1	0.9456	0.000
4225	4338	1	0.8492	15.999
1900	2959	1	0.8605	-220.537
2085	10917	1	0.8984	-68.023
1643	2996	1	0.8566	-83.049
288	3426	1	0.9484	-63.017
2966	5620	1	0.8671	234.002
